plik,czas_dyn,czas_aproks,stos_czas_dyn_aproks,czas_bb,koszt_dyn,koszt_aproks,stos_koszt_dyn_aproks,koszt_bb
data/6/6_16.tsp,748613,44897,16.674,238508,393,402,1.0229,393
data/6/6_17.tsp,747326,37620,19.8651,275886,432,478,1.10648,432
data/6/6_18.tsp,934111,61717,15.1354,248400,350,395,1.12857,350
data/6/6_19.tsp,1111605,42587,26.102,237537,366,400,1.0929,366
data/6/6_20.tsp,728691,37300,19.536,248521,394,417,1.05838,394
data/6/6_21.tsp,737564,45196,16.3192,251661,397,402,1.01259,397
data/6/6_22.tsp,733538,39271,18.6789,243418,423,429,1.01418,429
data/6/6_23.tsp,727147,42180,17.2391,230971,345,358,1.03768,345
data/6/6_24.tsp,721607,37783,19.0987,226100,393,393,1,393
data/6/6_25.tsp,746840,44368,16.8329,274822,418,418,1,418
data/6/6_26.tsp,823014,49091,16.7651,285867,402,449,1.11692,402
data/6/6_27.tsp,772558,53548,14.4274,253709,334,334,1,334
data/6/6_28.tsp,825568,37109,22.2471,229859,360,361,1.00278,360
data/6/6_29.tsp,757861,36315,20.8691,238057,415,430,1.03614,415
data/7/7_0.tsp,1943808,71806,27.0703,571905,482,521,1.08091,488
data/7/7_1.tsp,2114080,57081,37.0365,507122,447,489,1.09396,447
data/7/7_2.tsp,2160171,50467,42.8036,520228,427,482,1.12881,427
data/7/7_3.tsp,2000200,77608,25.7731,479117,454,511,1.12555,454
data/7/7_4.tsp,2489156,51850,48.0069,485381,465,490,1.05376,465
data/7/7_5.tsp,1991336,54178,36.7554,477321,446,476,1.06726,446
data/7/7_6.tsp,2100830,50852,41.3126,473446,423,428,1.01182,423
data/7/7_7.tsp,2007576,51469,39.0055,479467,458,478,1.04367,458
data/7/7_8.tsp,2014151,49574,40.6292,467037,410,432,1.05366,410
data/7/7_9.tsp,2656186,96146,27.6266,773536,451,502,1.11308,451
data/7/7_10.tsp,2187688,77872,28.0934,626222,437,437,1,437
data/7/7_11.tsp,2933420,74245,39.51,527356,448,469,1.04688,448
data/7/7_12.tsp,1969015,51332,38.3584,490454,440,504,1.14545,440
data/7/7_13.tsp,1972428,52118,37.8454,500709,393,431,1.09669,393
data/7/7_14.tsp,2055677,50244,40.9139,487592,433,460,1.06236,434
data/7/7_15.tsp,1928566,50628,38.0929,474969,424,434,1.02358,424
data/7/7_16.tsp,1951267,51005,38.2564,498955,452,496,1.09735,452
data/7/7_17.tsp,2109707,52217,40.4027,475417,456,558,1.22368,456
data/7/7_18.tsp,2345972,53344,43.9782,506726,406,455,1.12069,406
data/7/7_19.tsp,1953951,50414,38.7581,479368,532,549,1.03195,532
data/7/7_20.tsp,2031665,54688,37.1501,509110,485,496,1.02268,485
